kubectl exec -it iperf3-m9ghn -- iperf3 -c 10.244.120.65 -f M -t 120
Connecting to host 10.244.120.65, port 5201
[  5] local 10.88.0.2 port 33220 connected to 10.244.120.65 port 5201
[  5]  68.00-69.00  sec   189 MBytes   189 MBytes/sec    0   1.53 MBytes       
[  5]  69.00-70.00  sec   256 MBytes   256 MBytes/sec    0   1.65 MBytes       
[  5]  70.00-71.00  sec   258 MBytes   257 MBytes/sec    0   1.73 MBytes       
[  5]  71.00-72.00  sec   278 MBytes   278 MBytes/sec    0   1.82 MBytes       
[  5]  72.00-73.00  sec   254 MBytes   254 MBytes/sec  102   1.40 MBytes       
[  5]  73.00-74.00  sec   231 MBytes   231 MBytes/sec    0   1.52 MBytes       
[  5]  74.00-75.00  sec   268 MBytes   267 MBytes/sec    0   1.62 MBytes       
[  5]  75.00-76.00  sec   265 MBytes   265 MBytes/sec    0   1.73 MBytes       
[  5]  76.00-77.00  sec   272 MBytes   272 MBytes/sec    0   1.84 MBytes       
[  5]  77.00-78.00  sec   269 MBytes   269 MBytes/sec    0   1.94 MBytes       
[  5]  78.00-79.00  sec   256 MBytes   256 MBytes/sec   12   2.03 MBytes       
[  5]  79.00-80.00  sec   259 MBytes   259 MBytes/sec    0   2.12 MBytes       
[  5]  80.00-81.00  sec   251 MBytes   251 MBytes/sec  148   1.61 MBytes       
[  5]  81.00-82.00  sec   246 MBytes   246 MBytes/sec    0   1.76 MBytes       
[  5]  82.00-83.00  sec   255 MBytes   255 MBytes/sec   79   1.35 MBytes       
[  5]  83.00-84.00  sec   212 MBytes   213 MBytes/sec    0   1.47 MBytes       
[  5]  84.00-85.00  sec   258 MBytes   257 MBytes/sec    0   1.58 MBytes       
[  5]  85.00-86.00  sec   272 MBytes   273 MBytes/sec    0   1.69 MBytes       
[  5]  86.00-87.00  sec   259 MBytes   259 MBytes/sec    0   1.79 MBytes       
[  5]  87.00-88.00  sec   251 MBytes   251 MBytes/sec    0   1.89 MBytes       
[  5]  88.00-89.00  sec   231 MBytes   231 MBytes/sec  317   1.46 MBytes       
[  5]  89.00-90.00  sec   239 MBytes   239 MBytes/sec    0   1.59 MBytes       
[  5]  90.00-91.00  sec   216 MBytes   216 MBytes/sec    0   1.68 MBytes       
[  5]  91.00-92.00  sec   241 MBytes   241 MBytes/sec    0   1.76 MBytes       
[  5]  92.00-93.00  sec   212 MBytes   213 MBytes/sec    0   1.84 MBytes       
[  5]  93.00-94.00  sec   210 MBytes   210 MBytes/sec   96   1.36 MBytes       
[  5]  94.00-95.00  sec   229 MBytes   229 MBytes/sec    0   1.48 MBytes       
[  5]  95.00-96.00  sec   248 MBytes   247 MBytes/sec    0   1.59 MBytes       
[  5]  96.00-97.00  sec   246 MBytes   246 MBytes/sec    0   1.70 MBytes       
[  5]  97.00-98.00  sec   249 MBytes   248 MBytes/sec   34   1.27 MBytes       
[  5]  98.00-99.00  sec   200 MBytes   201 MBytes/sec    0   1.39 MBytes       
[  5]  99.00-100.00 sec   234 MBytes   234 MBytes/sec    0   1.51 MBytes       
[  5] 100.00-101.00 sec   221 MBytes   221 MBytes/sec    0   1.61 MBytes       
[  5] 101.00-102.00 sec   249 MBytes   249 MBytes/sec    0   1.70 MBytes       
[  5] 102.00-103.00 sec   255 MBytes   255 MBytes/sec   12   1.29 MBytes       
[  5] 103.00-104.00 sec   242 MBytes   243 MBytes/sec    0   1.42 MBytes       
[  5] 104.00-105.00 sec   252 MBytes   252 MBytes/sec    0   1.54 MBytes       
[  5] 105.00-106.00 sec   266 MBytes   266 MBytes/sec    0   1.66 MBytes       
[  5] 106.00-107.00 sec   262 MBytes   263 MBytes/sec    0   1.77 MBytes       
[  5] 107.00-108.00 sec   234 MBytes   234 MBytes/sec   24   1.31 MBytes       
[  5] 108.00-109.00 sec   202 MBytes   202 MBytes/sec    0   1.44 MBytes       
[  5] 109.00-110.00 sec   226 MBytes   226 MBytes/sec    0   1.56 MBytes       
[  5] 110.00-111.00 sec   212 MBytes   213 MBytes/sec    0   1.66 MBytes       
[  5] 111.00-112.00 sec   212 MBytes   212 MBytes/sec    0   1.73 MBytes       
[  5] 112.00-113.00 sec   231 MBytes   231 MBytes/sec    0   1.80 MBytes       
[  5] 113.00-114.00 sec   248 MBytes   248 MBytes/sec    0   1.90 MBytes       
[  5] 114.00-115.00 sec   248 MBytes   248 MBytes/sec    0   1.99 MBytes       
[  5] 115.00-116.00 sec   221 MBytes   221 MBytes/sec    0   2.07 MBytes       
[  5] 116.00-117.00 sec   231 MBytes   231 MBytes/sec    0   2.15 MBytes       
[  5] 117.00-118.00 sec   256 MBytes   256 MBytes/sec   63   1.66 MBytes       
[  5] 118.00-119.00 sec   216 MBytes   216 MBytes/sec    0   1.79 MBytes       
[  5] 119.00-120.00 sec   250 MBytes   250 MBytes/sec  114   1.35 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-120.00 sec  29.3 GBytes   250 MBytes/sec  2923             sender
[  5]   0.00-120.02 sec  29.3 GBytes   250 MBytes/sec                  receiver

iperf Done.
